Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
99,1922,Southern,5,4,1,.550,9.30,5.70,,,,Herman Stegeman (5-4-1),,
100,1921,Southern,7,2,1,.750,19.13,7.33,,,,Herman Stegeman (7-2-1),,
101,1920,Ind,8,0,1,.944,20.42,4.75,,,,Herman Stegeman (8-0-1),,
102,1919,Ind,4,2,3,.611,9.40,3.52,,,,W.A. Cunningham (4-2-3),,
103,1916,Ind,6,3,0,.667,7.98,3.76,,,,W.A. Cunningham (6-3),,
104,1915,Ind,5,2,2,.667,14.07,4.07,,,,W.A. Cunningham (5-2-2),,
105,1914,Ind,3,5,1,.389,3.08,7.75,,,,W.A. Cunningham (3-5-1),,
106,1913,Ind,6,2,0,.750,17.13,7.01,,,,W.A. Cunningham (6-2),,
107,1912,Ind,6,1,1,.813,16.24,6.36,,,,W.A. Cunningham (6-1-1),,
108,1911,Ind,7,1,1,.833,13.79,4.46,,,,W.A. Cunningham (7-1-1),,
109,1910,Ind,6,2,1,.722,14.05,3.94,,,,W.A. Cunningham (6-2-1),,
110,1909,Ind,1,4,2,.286,-2.41,2.31,,,,James Coulter (1-4-2),,
111,1908,Ind,5,2,1,.688,3.51,-0.49,,,,Branch Bocock (5-2-1),,
112,1907,Ind,4,3,1,.563,5.82,3.20,,,,W.S. Whitney (4-3-1),,
113,1906,Ind,2,4,1,.357,-7.78,-4.92,,,,W.S. Whitney (2-4-1),,
114,1905,Ind,1,5,0,.167,-19.15,-0.98,,,,Marvin Dickinson (1-5),,
115,1904,Ind,1,5,0,.167,-9.19,-3.85,,,,Charles Barnard (1-5),,
116,1903,Ind,3,4,0,.429,-3.96,0.61,,,,Marvin Dickinson (3-4),,
117,1902,Ind,4,2,1,.643,0.90,-1.10,,,,Billy Reynolds (4-2-1),,
