=======================================================================================
2020
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
15,Herman Archie\herman-archie-1,,,,,7,159,22.7,2,7,159,22.7,2
16,Norris Brown\norris-brown-1,,,,,3,46,15.3,2,3,46,15.3,2
17,Charles Junior\charles-junior-1,,,,,2,39,19.5,0,2,39,19.5,0
18,Jamie Wisham\jamie-wisham-1,,,,,2,33,16.5,0,2,33,16.5,0
19,Jimmy Hockaday\jimmy-hockaday-1,,,,,1,10,10.0,0,1,10,10.0,0
=======================================================================================
1981
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Herschel Walker\herschel-walker-1,385,1891,4.9,18,14,84,6.0,2,399,1975,4.9,20
2,Buck Belue\buck-belue-1,76,102,1.3,3,,,,,76,102,1.3,3
3,Ronnie Stewart\ronnie-stewart-1,66,385,5.8,1,12,150,12.5,1,78,535,6.9,2
4,Carnie Norris\carnie-norris-1,52,310,6.0,4,,,,,52,310,6.0,4
5,Barry Young\barry-young-1,30,168,5.6,0,1,7,7.0,0,31,175,5.6,0
6,Matt Simon\matt-simon-3,24,125,5.2,1,,,,,24,125,5.2,1
7,Chris McCarthy\chris-mccarthy-1,9,42,4.7,0,,,,,9,42,4.7,0
8,John Lastinger\john-lastinger-1,4,17,4.3,1,,,,,4,17,4.3,1
9,Jeff Paulk\jeff-paulk-1,4,14,3.5,1,,,,,4,14,3.5,1
10,Lindsay Scott\lindsay-scott-1,3,27,9.0,0,42,728,17.3,6,45,755,16.8,6
11,Matt Clark\matt-clark-1,2,16,8.0,0,,,,,2,16,8.0,0
12,Charles Junior\charles-junior-1,1,5,5.0,0,,,,,1,5,5.0,0
13,Norris Brown\norris-brown-1,,,,,18,380,21.1,3,18,380,21.1,3
14,Clarence Kay\clarence-kay-1,,,,,18,253,14.1,1,18,253,14.1,1
15,Lon Buckler\lon-buckler-1,,,,,7,75,10.7,0,7,75,10.7,0
16,Scott Williams\scott-williams-3,,,,,6,86,14.3,0,6,86,14.3,0
17,Chuck Jones\chuck-jones-1,,,,,4,47,11.8,0,4,47,11.8,0
=======================================================================================
1980
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Herschel Walker\herschel-walker-1,274,1616,5.9,15,7,70,10.0,0,281,1686,6.0,15
2,Buck Belue\buck-belue-1,95,63,0.7,5,,,,,95,63,0.7,5
3,Carnie Norris\carnie-norris-1,56,353,6.3,1,,,,,56,353,6.3,1
4,Jimmy Womack\jimmy-womack-1,49,209,4.3,0,5,75,15.0,0,54,284,5.3,0
5,Barry Young\barry-young-1,29,118,4.1,1,,,,,29,118,4.1,1
6,Ronnie Stewart\ronnie-stewart-1,25,112,4.5,1,5,39,7.8,3,30,151,5.0,4
7,Matt Simon\matt-simon-3,16,50,3.1,1,,,,,16,50,3.1,1
8,Jeff Paulk\jeff-paulk-1,13,35,2.7,0,,,,,13,35,2.7,0
9,Chris McCarthy\chris-mccarthy-1,9,27,3.0,0,,,,,9,27,3.0,0
10,Amp Arnold\amp-arnold-1,8,27,3.4,0,20,357,17.9,4,28,384,13.7,4
11,Daryll Jones\daryll-jones-1,6,26,4.3,0,,,,,6,26,4.3,0
12,Donnie McMickens\donnie-mcmickens-1,4,3,0.8,0,,,,,4,3,0.8,0
13,Chuck Jones\chuck-jones-1,2,14,7.0,0,9,158,17.6,2,11,172,15.6,2
14,Matt Clark\matt-clark-1,2,9,4.5,0,,,,,2,9,4.5,0
15,Melvin Simmons\melvin-simmons-2,2,8,4.0,0,,,,,2,8,4.0,0
16,Norris Brown\norris-brown-1,2,0,0.0,0,12,253,21.1,2,14,253,18.1,2
17,Lindsay Scott\lindsay-scott-1,1,-9,-9.0,0,19,374,19.7,1,20,365,18.3,1
18,Jim Broadway\jim-broadway-2,1,-14,-14.0,0,,,,,1,-14,-14.0,0
19,Clarence Kay\clarence-kay-1,,,,,4,52,13.0,0,4,52,13.0,0
20,Charles Junior\charles-junior-1,,,,,3,49,16.3,0,3,49,16.3,0
21,Guy Stargell\guy-stargell-1,,,,,1,16,16.0,0,1,16,16.0,0
22,Lon Buckler\lon-buckler-1,,,,,1,9,9.0,0,1,9,9.0,0
