=======================================================================================
2020
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
16,Cassius Osborn\cassius-osborn-1,,,,,7,154,22.0,1,7,154,22.0,1
17,Wycliffe Lovelace\wycliffe-lovelace-1,,,,,2,15,7.5,0,2,15,7.5,0
18,Sam Palmer\sam-palmer-1,,,,,1,11,11.0,0,1,11,11.0,0
19,Jeff Smith\jeff-smith-6,,,,,1,8,8.0,0,1,8,8.0,0
=======================================================================================
1984
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Lars Tate\lars-tate-1,114,421,3.7,3,3,4,1.3,0,117,425,3.6,3
2,Andre Smith\andre-smith-4,110,655,6.0,4,12,118,9.8,0,122,773,6.3,4
3,Cleveland Gary\cleveland-gary-1,66,240,3.6,2,1,0,0.0,0,67,240,3.6,2
4,Todd Williams\todd-williams-2,58,163,2.8,0,,,,,58,163,2.8,0
5,Tony Mangram\tony-mangram-1,52,193,3.7,1,1,8,8.0,0,53,201,3.8,1
6,Tron Jackson\tron-jackson-1,51,313,6.1,2,11,131,11.9,0,62,444,7.2,2
7,David Dukes\david-dukes-1,22,0,0.0,2,,,,,22,0,0.0,2
8,David McCluskey\david-mccluskey-1,17,123,7.2,0,5,27,5.4,0,22,150,6.8,0
9,Greg A. Williams\greg-a-williams-1,8,24,3.0,0,,,,,8,24,3.0,0
10,James Jackson\james-jackson-3,7,41,5.9,0,,,,,7,41,5.9,0
11,Fred Lane\fred-lane-1,5,27,5.4,0,9,115,12.8,1,14,142,10.1,1
12,Scott Williams\scott-williams-3,2,26,13.0,1,19,204,10.7,1,21,230,11.0,2
13,Randy Jackson\randy-jackson-2,2,6,3.0,0,,,,,2,6,3.0,0
14,Jimmy Hockaday\jimmy-hockaday-1,,,,,14,143,10.2,1,14,143,10.2,1
15,Herman Archie\herman-archie-1,,,,,13,211,16.2,3,13,211,16.2,3
16,Cassius Osborn\cassius-osborn-1,,,,,9,162,18.0,1,9,162,18.0,1
17,Stanley Blalock\stanley-blalock-1,,,,,2,63,31.5,1,2,63,31.5,1
18,Anthony Clincy\anthony-clincy-1,,,,,1,19,19.0,0,1,19,19.0,0
