===================================================================================================================================
2020
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
4,Damian Swann\damian-swann-1,35,30,65,4.5,2.0,4,18,4.5,0,8,1,99,1,4
5,Leonard Floyd\leonard-floyd-1,21,34,55,8.5,6.0,,,,,,1,,,3
6,Quincy Mauger\quincy-mauger-1,34,17,51,1.0,0.0,4,21,5.3,0,4,,,,
7,Lorenzo Carter\lorenzo-carter-1,18,23,41,7.0,4.5,,,,,,1,,,0
8,Aaron Davis\aaron-davis-8,27,13,40,1.0,0.0,1,0,0.0,0,5,1,,,0
9,Ray Drew\ray-drew-1,15,24,39,1.5,1.0,,,,,,,,,
10,Dominick Sanders\dominick-sanders-1,25,9,34,1.5,0.5,3,64,21.3,0,5,1,54,1,0
11,Tim Kimbrough\tim-kimbrough-1,17,15,32,1.0,0.0,,,,,,,,,
12,Mike Thornton\mike-thornton-2,11,19,30,1.0,0.5,,,,,1,,,,
13,Reggie Carter\reggie-carter-5,18,10,28,0.5,0.0,,,,,1,,,,
14,Sterling Bailey\sterling-bailey-1,8,19,27,0.5,0.5,,,,,2,1,,,0
15,Toby Johnson\toby-johnson-1,14,13,27,5.0,2.0,,,,,2,,,,
16,Corey Moore\corey-moore-2,20,6,26,2.0,0.0,1,0,0.0,0,2,,,,
17,Devin Bowman\devin-bowman-1,12,7,19,0.0,0.0,1,63,63.0,1,3,,,,
18,Malkom Parrish\malkom-parrish-1,13,4,17,1.0,0.0,,,,,,,,,1
19,Josh Dawson\josh-dawson-1,9,8,17,4.0,1.0,,,,,,2,,1,0
20,Davin Bellamy\davin-bellamy-1,6,11,17,2.0,0.0,,,,,,1,,,0
21,Kosta Vavlas\kosta-vavlas-1,11,6,17,0.0,0.0,,,,,,,,,
22,John Atkins\john-atkins-1,4,5,9,0.0,0.0,,,,,1,,,,
23,J.J. Green\jj-green-1,5,4,9,0.0,0.0,,,,,,,,,
24,Chris Mayes\chris-mayes-1,2,5,7,1.0,0.0,,,,,,,,,
25,Tramel Terry\tramel-terry-1,3,3,6,0.0,0.0,1,0,0.0,0,1,,,,
26,James Deloach\james-deloach-1,2,4,6,0.5,0.0,,,,,,,,,
27,Ryne Rankin\ryne-rankin-1,3,3,6,0.0,0.0,,,,,,,,,
28,Rico Johnson\rico-johnson-1,2,3,5,0.0,0.0,,,,,,,,,1
29,Michael Erdman\michael-erdman-1,2,3,5,0.0,0.0,,,,,,,,,
30,Ben Souther\ben-souther-1,1,4,5,0.0,0.0,,,,,,,,,
31,Blake Tibbs\blake-tibbs-1,3,2,5,0.0,0.0,,,,,,,,,
32,Tristan Askew\tristan-askew-1,1,3,4,0.0,0.0,,,,,,,,,
33,Brendan Langley\brendan-langley-1,3,1,4,1.0,0.0,,,,,1,,,,
34,Christian Payne\christian-payne-1,2,2,4,0.0,0.0,,,,,,,,,
35,Reggie Davis\reggie-davis-4,2,1,3,0.0,0.0,,,,,,,,,
36,Sheldon Dawson\sheldon-dawson-1,2,1,3,0.0,0.0,,,,,,,,,
37,Sony Michel\sony-michel-1,3,0,3,0.0,0.0,,,,,,,,,
38,Devin Gillespie\devin-gillespie-1,2,0,2,0.0,0.0,,,,,,,,,
39,Lucas Redd\lucas-redd-1,1,1,2,0.0,0.0,,,,,,,,,
40,Jesse Jones\jesse-jones-1,0,1,1,0.0,0.0,,,,,,,,,
41,Hutson Mason\hutson-mason-1,1,0,1,0.0,0.0,,,,,,,,,
42,Taylor Maxey\taylor-maxey-1,1,0,1,0.0,0.0,,,,,,,,,
43,Shaun McGee\shaun-mcgee-1,0,1,1,0.0,0.0,,,,,,,,,
44,Isaiah McKenzie\isaiah-mckenzie-1,1,0,1,0.0,0.0,,,,,,,,,
45,Malcolm Mitchell\malcolm-mitchell-2,1,0,1,0.0,0.0,,,,,,,,,
46,Marshall Morgan\marshall-morgan-1,1,0,1,0.0,0.0,,,,,,,,,
47,John Theus\john-theus-1,1,0,1,0.0,0.0,,,,,,,,,
48,Reggie Wilkerson\reggie-wilkerson-1,0,1,1,0.0,0.0,,,,,,,,,
49,Shakenneth Williams\shakenneth-williams-1,1,0,1,0.0,0.0,,,,,,,,,
50,Nathan Theus\nathan-theus-1,,,,0.0,0.0,,,,,,1,,,0
===================================================================================================================================
2013
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Ramik Wilson\ramik-wilson-1,76,57,133,11.0,4.0,,,,,3,,,,
2,Amarlo Herrera\amarlo-herrera-1,54,58,112,5.0,0.5,1,16,16.0,0,6,,,,1
3,Josh Harvey-Clemons\josh-harvey-clemons-1,37,26,63,5.5,0.0,1,18,18.0,0,5,3,,,2
4,Garrison Smith\garrison-smith-1,29,34,63,10.0,6.0,,,,,,,,,2
5,Quincy Mauger\quincy-mauger-1,42,15,57,1.0,0.0,1,4,4.0,0,1,,,,1
6,Damian Swann\damian-swann-1,43,14,57,1.0,0.0,,,,,8,,,,
7,Leonard Floyd\leonard-floyd-1,34,21,55,9.5,6.5,,,,,1,,,,2
8,Jordan Jenkins\jordan-jenkins-2,30,15,45,12.0,5.0,,,,,2,2,,,1
9,Ray Drew\ray-drew-1,24,19,43,8.0,6.0,,,,,3,,,,
10,Tray Matthews\tray-matthews-1,23,13,36,1.5,0.0,1,0,0.0,0,4,,,,1
11,Corey Moore\corey-moore-2,27,8,35,3.0,1.0,1,1,1.0,0,1,,,,
12,Sterling Bailey\sterling-bailey-1,14,19,33,1.0,1.0,,,,,3,,,,
13,Chris Mayes\chris-mayes-1,14,17,31,1.0,1.0,,,,,2,,,,
14,Connor Norman\connor-norman-1,15,9,24,0.5,0.0,,,,,1,1,,,0
15,Shaq Wiggins\shaq-wiggins-1,17,2,19,3.0,0.0,2,39,19.5,1,4,,,,
16,Sheldon Dawson\sheldon-dawson-1,8,5,13,1.0,0.0,,,,,,,,,
17,Brendan Langley\brendan-langley-1,8,4,12,0.0,0.0,,,,,2,,,,
18,Kosta Vavlas\kosta-vavlas-1,7,4,11,0.0,0.0,,,,,,,,,
19,Reggie Carter\reggie-carter-5,3,6,9,0.5,0.0,,,,,,,,,
20,Jonathon Taylor\jonathon-taylor-1,3,6,9,1.5,1.0,,,,,1,,,,
21,Josh Dawson\josh-dawson-1,3,5,8,1.0,0.0,,,,,,1,,,0
22,Toby Johnson\toby-johnson-1,2,5,7,1.5,0.0,,,,,,,,,
23,T.J. Stripling\tj-stripling-1,2,4,6,0.5,0.0,,,,,,,,,
24,Tim Kimbrough\tim-kimbrough-1,3,2,5,1.0,0.0,,,,,,,,,
25,Ryne Rankin\ryne-rankin-1,3,2,5,0.0,0.0,,,,,,,,,
26,Mike Thornton\mike-thornton-2,2,3,5,1.0,1.0,,,,,,,,,
27,Corey Campbell\corey-campbell-2,3,1,4,0.0,0.0,,,,,,,,,
28,James Deloach\james-deloach-1,2,2,4,0.0,0.0,,,,,,,,,
29,Johnny O'Neal\johnny-oneal-1,2,2,4,0.0,0.0,,,,,,,,,
30,Chris Conley\chris-conley-1,3,0,3,0.0,0.0,,,,,,,,,
31,John Theus\john-theus-1,3,0,3,0.0,0.0,,,,,,,,,
32,J.J. Green\jj-green-1,2,0,2,0.0,0.0,,,,,,,,,
33,Blake Sailors\blake-sailors-1,2,0,2,0.0,0.0,,,,,,,,,
34,David Andrews\david-andrews-3,1,0,1,0.0,0.0,,,,,,,,,
35,Jon Bailey\jon-bailey-1,0,1,1,0.0,0.0,,,,,,,,,
36,Michael Bennett\michael-bennett-4,1,0,1,0.0,0.0,,,,,,,,,
37,Chris Burnette\chris-burnette-1,1,0,1,0.0,0.0,,,,,,,,,
38,Brandon Burrows\brandon-burrows-1,1,0,1,0.0,0.0,,,,,,,,,
39,Marc Deas\marc-deas-1,0,1,1,0.0,0.0,,,,,,,,,
40,Keith Marshall\keith-marshall-1,1,0,1,0.0,0.0,,,,,,,,,
41,Lucas Redd\lucas-redd-1,0,1,1,0.0,0.0,,,,,,,,,
42,Blake Tibbs\blake-tibbs-1,1,0,1,0.0,0.0,,,,,,,,,
43,Chase Vasser\chase-vasser-1,1,0,1,0.0,0.0,,,,,,,,,
44,Justin Scott-Wesley\justin-scott-wesley-1,,,,0.0,0.0,,,,,,1,,,0
===================================================================================================================================
2012
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Alec Ogletree\alec-ogletree-1,63,48,111,11.5,3.0,1,0,0.0,0,,,,1,
2,Shawn Williams\shawn-williams-1,56,42,98,5.5,1.0,,,,,,,,,
3,Jarvis Jones\jarvis-jones-1,52,33,85,24.5,14.5,1,21,21.0,0,,,,,
4,Bacarri Rambo\bacarri-rambo-1,47,26,73,1.0,1.0,3,44,14.7,0,,,,,
5,Amarlo Herrera\amarlo-herrera-1,33,37,70,3.0,0.0,1,35,35.0,1,,,,,
6,Garrison Smith\garrison-smith-1,27,30,57,2.0,1.0,,,,,,,,,
7,Michael Gilliard\michael-gilliard-1,23,32,55,2.0,0.0,,,,,1,,,,
8,Damian Swann\damian-swann-1,34,19,53,3.5,2.0,4,61,15.3,0,,,,,
9,Sanders Commings\sanders-commings-1,42,9,51,1.0,0.0,3,0,0.0,0,,,,,
10,John Jenkins\john-jenkins-3,22,28,50,2.0,1.0,,,,,1,,,,
11,Christian Robinson\christian-robinson-1,22,25,47,7.5,1.0,,,,,,,,,1
12,Kwame Geathers\kwame-geathers-1,16,24,40,5.0,1.0,,,,,,,,,
13,Jordan Jenkins\jordan-jenkins-2,18,13,31,8.0,5.0,,,,,2,,,,1
14,Branden Smith\branden-smith-1,18,7,25,0.0,0.0,,,,,,,,,
15,Ray Drew\ray-drew-1,10,13,23,1.0,0.0,,,,,,,,,
16,Cornelius Washington\cornelius-washington-1,8,14,22,3.0,0.5,,,,,1,,,,
17,Chase Vasser\chase-vasser-1,12,7,19,4.0,0.0,,,,,,,,,1
18,Connor Norman\connor-norman-1,5,13,18,0.0,0.0,,,,,,,,,
19,Abry Jones\abry-jones-1,6,11,17,1.0,0.0,,,,,,,,,
20,Josh Harvey-Clemons\josh-harvey-clemons-1,2,12,14,1.0,0.0,,,,,1,,,,
21,Corey Moore\corey-moore-2,5,9,14,1.0,0.0,,,,,,,,,
22,Sheldon Dawson\sheldon-dawson-1,9,3,12,0.0,0.0,,,,,,,,,
23,Malcolm Mitchell\malcolm-mitchell-2,10,2,12,0.0,0.0,,,,,,,,,
24,Kosta Vavlas\kosta-vavlas-1,6,3,9,0.0,0.0,,,,,,,,,1
25,Devin Bowman\devin-bowman-1,5,4,9,0.0,0.0,,,,,,,,,
26,T.J. Stripling\tj-stripling-1,3,5,8,1.0,1.0,,,,,,,,,1
27,Blake Sailors\blake-sailors-1,3,5,8,0.0,0.0,,,,,,,,,
28,Ramik Wilson\ramik-wilson-1,4,2,6,1.0,0.0,,,,,,,,,1
29,Josh Dawson\josh-dawson-1,2,3,5,1.5,0.0,,,,,,,,,
30,James Deloach\james-deloach-1,0,4,4,0.0,0.0,,,,,,,,,
31,Marshall Morgan\marshall-morgan-1,4,0,4,0.0,0.0,,,,,,,,,
32,Kenarious Gates\kenarious-gates-1,3,0,3,0.0,0.0,,,,,,,,,
33,Ty Frix\ty-frix-1,0,2,2,0.0,0.0,,,,,,,,,
34,Sterling Bailey\sterling-bailey-1,0,1,1,0.0,0.0,,,,,,,,,
35,Chris Burnette\chris-burnette-1,0,1,1,0.0,0.0,,,,,,,,,
36,Cory Campbell\cory-campbell-1,0,1,1,0.0,0.0,,,,,,,,,
37,Marc Deas\marc-deas-1,0,1,1,0.0,0.0,,,,,,,,,
38,Jamie Lindley\jamie-lindley-1,1,0,1,0.0,0.0,,,,,,,,,
39,John Theus\john-theus-1,1,0,1,0.0,0.0,,,,,,,,,
40,Collin Barber\collin-barber-2,1,0,1,0.0,0.0,,,,,,,,,
41,Todd Gurley\todd-gurley-1,1,0,1,0.0,0.0,,,,,,,,,
42,Tavarres King\tavarres-king-1,0,1,1,0.0,0.0,,,,,,,,,
43,Arthur Lynch\arthur-lynch-1,1,0,1,0.0,0.0,,,,,,,,,
44,Jay Rome\jay-rome-1,1,0,1,0.0,0.0,,,,,,,,,
45,Richard Samuel\richard-samuel-1,1,0,1,0.0,0.0,,,,,,,,,
===================================================================================================================================
2011
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Shawn Williams\shawn-williams-1,48,24,72,5.0,0.0,4,58,14.5,0,,,,,
2,Jarvis Jones\jarvis-jones-1,39,31,70,19.5,13.5,,,,,2,,,,2
3,Michael Gilliard\michael-gilliard-1,34,31,65,7.0,2.0,1,0,0.0,0,,,,,
4,Bacarri Rambo\bacarri-rambo-1,34,21,55,1.0,0.0,8,157,19.6,1,,,,,
5,Brandon Boykin\brandon-boykin-1,35,20,55,11.0,0.0,3,-1,-0.3,0,,,,,
6,Sanders Commings\sanders-commings-1,46,9,55,4.0,1.0,1,16,16.0,0,,,,,
7,Alec Ogletree\alec-ogletree-1,41,11,52,7.5,3.0,,,,,2,,,,2
8,Abry Jones\abry-jones-1,28,20,48,7.0,4.0,,,,,3,,,,1
9,Christian Robinson\christian-robinson-1,21,26,47,6.5,1.5,,,,,2,,,,
10,Amarlo Herrera\amarlo-herrera-1,16,21,37,3.0,0.0,,,,,2,,,,2
11,John Jenkins\john-jenkins-3,14,14,28,6.0,3.0,1,2,2.0,0,,,,,
12,Branden Smith\branden-smith-1,16,8,24,0.0,0.0,2,62,31.0,0,,,,,
13,Garrison Smith\garrison-smith-1,11,11,22,3.0,0.0,,,,,,,,,
14,Deangelo Tyson\deangelo-tyson-1,11,9,20,3.5,1.5,,,,,1,,,,
15,Kosta Vavlas\kosta-vavlas-1,10,9,19,0.0,0.0,,,,,,,,,
16,Cornelius Washington\cornelius-washington-1,11,6,17,6.0,5.0,,,,,1,,,,
17,Chase Vasser\chase-vasser-1,10,6,16,3.5,0.0,,,,,,,,,
18,Kwame Geathers\kwame-geathers-1,6,8,14,0.0,0.0,,,,,1,,,,
19,Norman\norman-2,9,4,13,0.0,0.0,,,,,,,,,
20,Connor Norman\connor-norman-1,9,4,13,0.0,0.0,,,,,,,,,
21,Jordan Love\jordan-love-1,10,2,12,0.0,0.0,,,,,1,,,,1
22,Quintavius Harrow\quintavius-harrow-1,5,5,10,0.0,0.0,,,,,,,,,1
23,Jeremy Sulek\jeremy-sulek-1,6,4,10,0.0,0.0,,,,,,,,,
24,Blake Sailors\blake-sailors-1,7,2,9,0.0,0.0,,,,,,,,,1
25,Ray Drew\ray-drew-1,3,5,8,2.5,0.5,,,,,,1,,,1
26,Damian Swann\damian-swann-1,3,2,5,1.0,0.0,,,,,,,,,
27,Nick Marshall\nick-marshall-1,2,3,5,0.0,0.0,,,,,,,,,
28,Ramik Wilson\ramik-wilson-1,2,2,4,0.0,0.0,,,,,,,,,
29,Campbell\campbell-2,1,3,4,0.0,0.0,,,,,,,,,1
30,Marc Deas\marc-deas-1,0,3,3,0.0,0.0,,,,,,,,,
31,Reuben Faloughi\reuben-faloughi-1,0,3,3,1.0,0.0,,,,,,,,,
32,Derrick Lott\derrick-lott-1,1,2,3,0.5,0.0,,,,,,,,,
33,Derek Owens\derek-owens-1,1,1,2,0.0,0.0,,,,,,,,,
34,T.J. Stripling\tj-stripling-1,2,0,2,0.0,0.0,,,,,,,,,
35,Mike Thornton\mike-thornton-2,1,1,2,0.5,0.0,,,,,,,,,
36,Michael Bennett\michael-bennett-4,2,0,2,0.0,0.0,,,,,,,,,
37,Ty Frix\ty-frix-1,2,0,2,0.0,0.0,,,,,,,,,
38,Chris Sanders\chris-sanders-3,1,1,2,0.0,0.0,,,,,,,,,
39,Aron White\aron-white-1,2,0,2,0.0,0.0,,,,,,,,,
40,Michael Erdman\michael-erdman-1,0,1,1,0.0,0.0,,,,,,,,,
41,Arthur Lynch\arthur-lynch-1,1,0,1,0.0,0.0,,,,,,,,,
42,Corey Moore\corey-moore-2,1,0,1,0.0,0.0,,,,,,,,,
43,Malcolm Mitchell\malcolm-mitchell-2,1,0,1,0.0,0.0,,,,,,,,,
44,Taylor Bradberry\taylor-bradberry-1,1,0,1,1.0,0.0,,,,,,,,,
45,Marlon Brown\marlon-brown-1,1,0,1,0.0,0.0,,,,,,,,,
46,Drew Butler\drew-butler-1,1,0,1,0.0,0.0,,,,,,,,,
47,Zander Ogletree\zander-ogletree-1,1,0,1,0.0,0.0,,,,,,,,,
48,Wes Van Dyk\wes-van-dyk-1,1,0,1,0.0,0.0,,,,,,,,,
49,Blair Walsh\blair-walsh-1,1,0,1,0.0,0.0,,,,,,,,,
===================================================================================================================================
2010
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Akeem Dent\akeem-dent-1,69,57,126,6.5,2.5,,,,,2,1,0,0,2
2,Bacarri Rambo\bacarri-rambo-1,58,24,82,5.0,0.0,3,64,21.3,1,,,,,
3,Justin Houston\justin-houston-1,40,27,67,18.5,10.0,1,4,4.0,0,,,18,1,
4,Marcus Dowtin\marcus-dowtin-1,32,25,57,4.5,1.5,1,1,1.0,0,,,,,
5,Christian Robinson\christian-robinson-1,27,19,46,6.0,2.0,,,,,,,,,
6,Brandon Boykin\brandon-boykin-1,26,18,44,6.5,1.0,3,34,11.3,0,,,,,
7,Darryl Gamble\darryl-gamble-1,20,19,39,4.0,0.0,1,1,1.0,0,,,,,
8,Sanders Commings\sanders-commings-1,21,15,36,0.5,0.0,3,25,8.3,0,,,,,
9,Deangelo Tyson\deangelo-tyson-1,10,26,36,4.0,1.5,,,,,,,,,1
10,Alec Ogletree\alec-ogletree-1,26,8,34,1.0,0.0,,,,,1,,,,
11,Shawn Williams\shawn-williams-1,25,9,34,0.0,0.0,,,,,1,,,,
12,Abry Jones\abry-jones-1,13,21,34,3.5,0.0,,,,,,,,,1
13,Demarcus Dobbs\demarcus-dobbs-1,12,16,28,3.0,1.0,,,,,1,,,,
14,Jakar Hamilton\jakar-hamilton-1,11,16,27,0.0,0.0,1,17,17.0,1,,,,,
15,Cornelius Washington\cornelius-washington-1,18,6,24,3.0,1.0,,,,,1,,,,
16,Vance Cuff\vance-cuff-1,17,5,22,1.0,0.0,1,30,30.0,1,,,,,
17,Branden Smith\branden-smith-1,10,7,17,0.0,0.0,2,-7,-3.5,0,,,,,
18,Brandon Wood\brandon-wood-2,6,10,16,1.5,1.0,,,,,,,,,
19,Kiante Tripp\kiante-tripp-1,8,5,13,4.0,1.5,,,,,,,,,
20,Blake Sailors\blake-sailors-1,7,2,9,0.0,0.0,,,,,,1,,,0
21,Jordan Love\jordan-love-1,4,5,9,0.0,0.0,,,,,,,,,1
22,Chad Gloer\chad-gloer-1,4,5,9,0.0,0.0,,,,,,,,,
23,Michael Gilliard\michael-gilliard-1,3,5,8,0.0,0.0,,,,,,,,,
24,Kwame Geathers\kwame-geathers-1,3,4,7,1.5,0.0,,,,,,,,,
25,Derrick Lott\derrick-lott-1,5,2,7,1.0,0.0,,,,,,,,,
26,Akeem Hebron\akeem-hebron-1,1,5,6,2.0,1.0,,,,,,,,,
27,Derek Owens\derek-owens-1,3,3,6,0.0,0.0,,,,,,,,,
28,Zander Ogletree\zander-ogletree-1,2,3,5,0.0,0.0,,,,,,,,,
29,Jeremy Sulek\jeremy-sulek-1,2,2,4,0.0,0.0,,,,,,,,,
30,Garrison Smith\garrison-smith-1,2,1,3,1.0,0.0,,,,,,,,,
31,Chase Vasser\chase-vasser-1,1,2,3,0.0,0.0,,,,,,,,,
32,Nick Williams\nick-williams-5,2,1,3,0.0,0.0,,,,,,,,,
33,Reuben Faloughi\reuben-faloughi-1,0,2,2,0.5,0.0,,,,,,,,,
34,Logan Gray\logan-gray-1,1,1,2,0.0,0.0,,,,,,,,,
35,Kenarious Gates\kenarious-gates-1,1,0,1,0.0,0.0,,,,,,,,,
36,T.J. Stripling\tj-stripling-1,1,0,1,0.0,0.0,,,,,,,,,
37,Justin Anderson\justin-anderson-4,0,1,1,0.0,0.0,,,,,,,,,
38,Cordy Glenn\cordy-glenn-1,0,1,1,0.0,0.0,,,,,,,,,
39,Jeremy Longo\jeremy-longo-1,0,1,1,0.5,0.0,,,,,,,,,
40,Trinton Sturdivant\trinton-sturdivant-1,0,1,1,0.0,0.0,,,,,,,,,
41,Shaun Chapas\shaun-chapas-1,1,0,1,0.0,0.0,,,,,,,,,
42,Kris Durham\kris-durham-1,1,0,1,0.0,0.0,,,,,,,,,
43,Bruce Figgins\bruce-figgins-1,1,0,1,0.0,0.0,,,,,,,,,
44,A.J. Green\aj-green-1,1,0,1,0.0,0.0,,,,,,,,,
45,Tavarres King\tavarres-king-1,1,0,1,0.0,0.0,,,,,,,,,
46,Blair Walsh\blair-walsh-1,1,0,1,0.0,0.0,,,,,,,,,
===================================================================================================================================
2009
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Rennie Curran\rennie-curran-1,66,64,130,5.0,0.5,,,,,3,1,3,0,0
2,Reshad Jones\reshad-jones-1,44,29,73,4.5,0.0,4,89,22.3,0,,,,,
3,Marcus Dowtin\marcus-dowtin-1,24,33,57,7.0,2.0,,,,,1,,,,
4,Brandon Boykin\brandon-boykin-1,40,14,54,2.5,0.0,3,3,1.0,0,,,,,
5,Bryan Evans\bryan-evans-1,29,21,50,0.5,0.0,,,,,3,,,,
6,Darryl Gamble\darryl-gamble-1,26,21,47,2.0,1.0,,,,,2,,,,1
7,Prince Miller\prince-miller-1,27,15,42,5.0,0.0,,,,,,,,,
8,Justin Houston\justin-houston-1,22,17,39,15.0,7.5,,,,,1,,,,1
9,Geno Atkins\geno-atkins-1,22,14,36,10.5,3.0,,,,,,,,,1
10,Akeem Dent\akeem-dent-1,13,19,32,2.5,0.5,,,,,,,,,
11,Jeff Owens\jeff-owens-1,14,18,32,4.0,1.5,,,,,,,,,
12,Demarcus Dobbs\demarcus-dobbs-1,11,19,30,5.5,4.5,,,,,4,,,,3
13,Kade Weston\kade-weston-1,12,17,29,6.5,2.5,,,,,,,,,
14,Bacarri Rambo\bacarri-rambo-1,20,5,25,0.0,0.0,2,28,14.0,1,,,,,
15,Darius Dewberry\darius-dewberry-1,9,14,23,0.5,0.0,,,,,,,,,1
16,Vance Cuff\vance-cuff-1,12,9,21,1.5,0.0,,,,,2,,,,
17,Christian Robinson\christian-robinson-1,8,11,19,2.5,0.0,,,,,,,,,
18,Brandon Wood\brandon-wood-2,5,9,14,0.0,0.0,,,,,1,,,,
19,Branden Smith\branden-smith-1,9,5,14,0.5,0.0,,,,,,,,,
20,Cornelius Washington\cornelius-washington-1,9,4,13,5.0,4.0,,,,,,,,,
21,Sanders Commings\sanders-commings-1,6,6,12,0.5,0.0,1,15,15.0,0,,,,,
22,Deangelo Tyson\deangelo-tyson-1,2,10,12,0.0,0.0,,,,,,,,,
23,Marcus Washington\marcus-washington-1,5,4,9,2.0,0.0,,,,,,,,,
24,Chad Gloer\chad-gloer-1,3,6,9,0.0,0.0,,,,,,,,,
25,Nick Williams\nick-williams-5,3,6,9,0.0,0.0,,,,,,,,,
26,Abry Jones\abry-jones-1,5,3,8,2.0,1.0,,,,,,,,,
27,Richard Samuel\richard-samuel-1,6,2,8,0.0,0.0,,,,,,,,,
28,Michael Gilliard\michael-gilliard-1,4,3,7,0.0,0.0,,,,,,,,,
29,Brandon Wheeling\brandon-wheeling-1,4,3,7,1.0,0.0,,,,,,,,,
30,Justin Fields\justin-fields-1,4,2,6,0.0,0.0,,,,,,,,,
31,Shawn Williams\shawn-williams-1,3,2,5,0.0,0.0,,,,,,,,,
32,Montez Robinson\montez-robinson-1,4,1,5,2.5,2.0,,,,,,,,,
33,Shaun Chapas\shaun-chapas-1,4,0,4,0.0,0.0,,,,,,,,,
34,Quintin Banks\quintin-banks-1,3,0,3,1.0,0.0,,,,,,,,,
35,Roderick Battle\roderick-battle-1,3,0,3,0.0,0.0,,,,,,,,,
36,Akeem Hebron\akeem-hebron-1,2,1,3,0.0,0.0,,,,,,,,,
37,Ty Frix\ty-frix-1,2,0,2,0.0,0.0,,,,,,,,,
38,Jeremy Longo\jeremy-longo-1,0,2,2,0.5,0.0,,,,,,,,,
39,Makiri Pugh\makiri-pugh-1,1,1,2,0.0,0.0,,,,,,,,,
40,Caleb King\caleb-king-1,2,0,2,0.0,0.0,,,,,,,,,
41,Blair Walsh\blair-walsh-1,2,0,2,0.0,0.0,,,,,,,,,
42,Kiante Tripp\kiante-tripp-1,0,1,1,0.0,0.0,,,,,,,,,
43,Josh Davis\josh-davis-4,1,0,1,0.0,0.0,,,,,,,,,
44,Cordy Glenn\cordy-glenn-1,1,0,1,0.0,0.0,,,,,,,,,
45,Ben Jones\ben-jones-3,1,0,1,0.0,0.0,,,,,,,,,
46,Tavarres King\tavarres-king-1,1,0,1,0.0,0.0,,,,,,,,,
47,Fred Munzenmaier\fred-munzenmaier-1,1,0,1,0.0,0.0,,,,,,,,,
===================================================================================================================================
2008
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Rennie Curran\rennie-curran-1,63,52,115,10.0,3.0,,,,,1,,,,2
2,Reshad Jones\reshad-jones-1,45,31,76,2.5,0.0,5,32,6.4,0,,,,,
3,Darryl Gamble\darryl-gamble-1,26,34,60,3.0,1.0,2,93,46.5,2,,,,,
4,Asher Allen\asher-allen-1,44,9,53,4.5,1.0,,,,,,,,,
5,Prince Miller\prince-miller-1,33,17,50,2.0,1.0,,,,,,,,,
6,C.J. Byrd\cj-byrd-1,30,19,49,2.0,0.0,,,,,6,,,,
7,Akeem Dent\akeem-dent-1,27,19,46,3.0,1.5,,,,,2,,,,
8,Geno Atkins\geno-atkins-1,19,15,34,7.5,0.0,,,,,1,,,,
9,Corvey Irvin\corvey-irvin-1,22,12,34,8.5,3.0,,,,,3,,,,
10,Dannell Ellerbe\dannell-ellerbe-1,17,16,33,6.0,2.0,1,0,0.0,0,,,,,
11,Bryan Evans\bryan-evans-1,23,1,24,0.0,0.0,,,,,3,,,,
12,Jarius Wynn\jarius-wynn-1,11,13,24,4.0,3.0,,,,,1,,,,
13,Jeremy Lomax\jeremy-lomax-1,7,13,20,3.0,0.5,,,,,,,,,
14,Demarcus Dobbs\demarcus-dobbs-1,9,10,19,2.0,2.0,2,78,39.0,1,,,,,
15,Justin Houston\justin-houston-1,10,9,19,4.5,2.5,,,,,2,,,,
16,Kade Weston\kade-weston-1,13,5,18,3.5,0.0,,,,,,,,,
17,Marcus Dowtin\marcus-dowtin-1,9,8,17,0.0,0.0,,,,,,,,,1
18,Ramarcus Brown\ramarcus-brown-1,11,5,16,1.0,0.0,,,,,,,,,
19,Roderick Battle\roderick-battle-1,9,5,14,3.5,0.5,,,,,1,,,,2
20,Vance Cuff\vance-cuff-1,10,3,13,0.0,0.0,,,,,,,,,
21,Deangelo Tyson\deangelo-tyson-1,5,6,11,1.0,0.0,,,,,,,,,
22,Brandon Wood\brandon-wood-2,2,9,11,0.5,0.5,,,,,1,,,,
23,Chad Gloer\chad-gloer-1,7,3,10,0.0,0.0,,,,,,,,,
24,Andrew Williams\andrew-williams-2,4,6,10,0.0,0.0,,,,,,,,,
25,Benjamin Boyd\benjamin-boyd-1,5,4,9,0.0,0.0,,,,,,,,,
26,John Knox\john-knox-1,5,3,8,0.0,0.0,,,,,,,,,
27,Brandon Boykin\brandon-boykin-1,5,1,6,0.0,0.0,,,,,,,,,
28,Mohamed Massaquoi\mohamed-massaquoi-1,4,0,4,0.0,0.0,,,,,,,,,
